Animal ID,Type,Animal Name,Breed,Outgoing Date,Outgoing Status,Source,Source Date,Passed for Rehoming,Date Spay/Neutered,Days In Care,Surrender Reason,Primary Euthanasia Reason,
108763,Puppy,King,Yorkshire Terrier,09/01/2017,Adopted,Owner Surrender,08/23/2017,Yes,08/30/2017,9,No time for animal,,
109114,Dog,Kara,Beagle,09/01/2017,Euthanized,Euthanasia Request,09/01/2017,,,0,,Owner request -1,
108672,Dog,Dusty,Pit Bull,09/01/2017,Reclaimed,ACO Impound,08/21/2017,,,11,,,
108820,Puppy,El Niño,Pit Bull,09/01/2017,Reclaimed,ACO Impound,08/28/2017,,,4,,,
109119,Dog,Kaiya,Siberian Husky,09/01/2017,Seized Release,ACO Impound,09/01/2017,,,0,,,
109120,Dog,Keida,Siberian Husky,09/01/2017,Seized Release,ACO Impound,09/01/2017,,,0,,,
108827,Dog,Opal,Small Mix Breed,09/01/2017,Adopted,ACO Impound,08/25/2017,Yes,08/30/2017,7,,,
108538,Dog,Rambo,Pit Bull,09/01/2017,Adopted,ACO Impound,08/18/2017,Yes,08/23/2017,14,,,
109115,Dog,Red,Medium Mix Breed,09/01/2017,Euthanized,Euthanasia Request,09/01/2017,,,0,,Owner request -1,
106301,Dog,Barry - Rescue Committed,Mastiff,09/01/2017,Transfer Out,ACO Impound,08/16/2017,,06/26/2017,16,No Space for Animal,,
109125,Puppy,Stitch,Pit Bull,09/01/2017,Euthanized,Euthanasia Request,09/01/2017,,,0,Health of the animal - Debilitating Illness Owner request -1,,
108615,Dog,Alejandro,Pit Bull,09/01/2017,Adopted,ACO Impound,08/19/2017,Yes,08/28/2017,13,,,
108795,Dog,Mondo,Irish Wolfhound,09/01/2017,Adopted,Owner Surrender,08/24/2017,Yes,,8,Aggressive towards other animals,,
103344,Dog,Raelee,Large Mix Breed,09/01/2017,Adopted,Returns,08/25/2017,Yes,04/07/2017,7,Landlord won't allow,,
31711,Dog,Solodino,Siberian Husky,09/01/2017,Adopted,ACO Impound,08/23/2017,Yes,,9,,,
108930,Puppy,Leddi,Labrador,09/01/2017,Adopted,Owner Surrender,08/27/2017,,08/30/2017,5,Divorce/Separation,,
108775,Dog,Gus,Medium Mix Breed,09/01/2017,Adopted,ACO Impound,08/23/2017,Yes,08/28/2017,9,,,
108653,Dog,Viper - Rescue Committed,Boxer,09/01/2017,Transfer Out,ACO Impound,08/20/2017,Rescue,,12,,,
108315,Dog,Melanie,Large Mix Breed,09/01/2017,Adopted,Returns,08/28/2017,Behaviour,08/14/2017,4,,,
108768,Dog,Apollo - Rescue Committed,Presa Canario,09/01/2017,Transfer Out,Owner Surrender,08/23/2017,,09/01/2017,9,Homeless,,
109022,Dog,Fix/max,Pit Bull,09/01/2017,Reclaimed,Stray,08/29/2017,,09/01/2017,3,,Failure to pass medical evaluation-5,
108430,Dog,Flex,Pit Bull,09/01/2017,Adopted,ACO Impound,08/15/2017,Yes,08/21/2017,17,,,
108702,Dog,Nadia,Medium Mix Breed,09/01/2017,Adopted,ACO Impound,08/21/2017,Yes,08/28/2017,11,,,
104003,Dog,Raff,Cane Corso,09/01/2017,Reclaimed,ACO Impound,09/01/2017,,,0,,,
108631,Dog,Fritz,Brussels Griffon,09/01/2017,Adopted,ACO Impound,08/20/2017,Behaviour,08/30/2017,12,,,
108632,Dog,Boris,Terrier,09/01/2017,Adopted,ACO Impound,08/20/2017,Yes,08/28/2017,12,,,
104004,Dog,Leo,Cane Corso,09/01/2017,Reclaimed,ACO Impound,09/01/2017,,,0,,,
