Animal ID,Type,Animal Name,Breed,Outgoing Date,Outgoing Status,Source,Source Date,Passed for Rehoming,Date Spay/Neutered,Days In Care,Surrender Reason,Primary Euthanasia Reason
110066,Dog,Logan,Beagle,10/01/2017,Reclaimed,Stray,09/30/2017,,,1,,
110069,Dog,Argon,Pit Bull,10/01/2017,Reclaimed,Stray,09/30/2017,,,1,,
110070,Dog,Frank,Pit Bull,10/01/2017,Reclaimed,Stray,09/30/2017,,,1,,
109495,Dog,Scout,Beagle,10/01/2017,Adopted,Returns,09/29/2017,Yes,09/20/2017,2,,
109861,Dog,Isabella,Boxer,10/01/2017,Adopted,ACO Impound,09/24/2017,Yes,09/29/2017,7,,
110094,Dog,Loki,Labrador,10/01/2017,Reclaimed,Stray,10/01/2017,,,0,,
110079,Dog,Baby Girl,Pit Bull,10/01/2017,Reclaimed,ACO Impound,09/30/2017,,,1,,
109855,Puppy,Itsy,Italian Greyhound,10/01/2017,Adopted,Stray,09/23/2017,Yes,09/29/2017,8,,
109856,Puppy,Bitsy,Italian Greyhound,10/01/2017,Adopted,Stray,09/23/2017,Yes,09/29/2017,8,,
110084,Puppy,Buju,Cane Corso,10/01/2017,Reclaimed,ACO Impound,09/30/2017,,,1,,
110100,Dog,Toby,Labrador,10/01/2017,Euthanized,Euthanasia Request,10/01/2017,,,0,,Owner request -1
110099,Dog,Chi Chi,Chihuahua,10/01/2017,Euthanized,Euthanasia Request,10/01/2017,,,0,,Owner request -1
41576,Dog,Freddy,Shih Tzu,10/01/2017,Transfer Out,ACO Impound,09/26/2017,Yes,03/13/2013,5,,
109712,Dog,Cheryl,Small Terrier Mix,10/01/2017,Transfer Out,Stray,09/19/2017,,,12,,
105027,Dog,Monica,Pit Bull,10/01/2017,Adopted,Returns,09/05/2017,Yes,05/24/2017,26,MOVING,
110056,Dog,Girlfriend,Pit Bull,10/01/2017,Reclaimed,ACO Impound,09/29/2017,,,2,,
109827,Dog,Velma,Pit Bull,10/01/2017,Adopted,ACO Impound,09/22/2017,Yes,09/27/2017,9,,
107468,Dog,Farcien,Norfolk Terrier,10/01/2017,Adopted,Stray,07/21/2017,Yes,07/26/2017,72,,
110098,Dog,Boss,Large Mix Breed,10/01/2017,Reclaimed,Stray,10/01/2017,,,0,,
107688,Dog,Paisley,Chihuahua,10/01/2017,Adopted,ACO Impound,07/27/2017,,08/17/2017,66,,
110104,Dog,Sugar,Pit Bull,10/01/2017,Euthanized,Euthanasia Request,10/01/2017,,,0,,Owner request -1
109424,Dog,Conrad,Pit Bull,10/01/2017,Adopted,Stray,09/10/2017,Yes,09/15/2017,21,,
109786,Puppy,Keno,Pit Bull,10/01/2017,Adopted,ACO Impound,09/21/2017,Yes,09/27/2017,10,,
109164,Dog,Arthur,Jack Russell Terrier,10/01/2017,Adopted,Returns,09/22/2017,Yes,09/08/2017,9,,History of biting-6
110008,Dog,,Mini Pinscher,10/01/2017,Euthanized,ACO Impound,09/28/2017,,,3,,Failure to pass medical
40866,Dog,Boss - Go Slow,Sharpei,10/01/2017,Euthanized,ACO Impound,09/13/2017,Rescue,,18,,Failure to pass behavior
109960,Dog,Matthias,Pit Bull,10/01/2017,Euthanized,Stray,09/27/2017,,,4,,Failure to pass medical
110014,Dog,Garfunkle,Shepherd,10/01/2017,Euthanized,Stray,09/28/2017,Rescue,,3,,Untreatable Terminal Injury-
110110,Dog,,Pit Bull,10/01/2017,Euthanized,Stray,10/01/2017,,,0,,Untreatable Terminal Illness-
109991,Dog,Emmit - Rescue Committed,Pit Bull,10/02/2017,Transfer Out,ACO Impound,09/28/2017,,,4,,
110109,Dog,Bella,Bichon Frise,10/02/2017,Reclaimed,Stray,10/01/2017,,,1,,
104719,Dog,Daphne- Rescue Committed,Pit Bull,10/02/2017,Transfer Out,ACO Impound,09/08/2017,Rescue,09/21/2016,24,,
108798,Dog,Britney,Pit Bull,10/02/2017,Adopted,ACO Impound,08/24/2017,Yes,08/28/2017,39,,
108583,Dog,Brinks,Large Mix Breed,10/02/2017,Adopted,Stray,08/19/2017,Yes,08/24/2017,44,,
109727,Dog,Shakira,Medium Mix Breed,10/02/2017,Adopted,Owner Surrender,09/19/2017,Yes,09/25/2017,13,Homeless,
107717,Puppy,Pinky,Medium Mix Breed,10/02/2017,Adopted,ACO Impound,07/28/2017,,08/24/2017,66,,
110127,Dog,Frankie,Chihuahua,10/02/2017,Reclaimed,Stray,10/02/2017,,,0,,
109023,Puppy,Dexter,Large Mix Breed,10/02/2017,Adopted,Returns,09/09/2017,,09/05/2017,23,,
109660,Dog,Ellie,Boxer,10/02/2017,Reclaimed,ACO Impound,10/01/2017,,,1,,
109785,Dog,Justin- Rescue Committed,German Shepherd,10/02/2017,Transfer Out,Stray,09/21/2017,Yes,09/27/2017,11,,
109753,Dog,Olivia,Medium Mix Breed,10/02/2017,Adopted,ACO Impound,09/20/2017,Yes,09/27/2017,12,,
109462,Dog,Bertram,Medium Mix Breed,10/02/2017,Adopted,Stray,09/11/2017,Yes,09/18/2017,21,,
108296,Dog,Gallagher,American Bulldog,10/02/2017,Adopted,Stray,08/12/2017,Yes,,51,,
37289,Dog,Rocky,Mini Pinscher,10/02/2017,Adopted,Returns,09/26/2017,Yes,12/17/2012,6,,
109692,Dog,Courage -Rescue Committed,Pit Bull,10/02/2017,Transfer Out,ACO Impound,09/19/2017,Yes,,13,,
91204,Dog,Pumpkin,Shih Tzu,10/02/2017,Seized Release,ACO Impound,10/02/2017,Yes,,0,No time for animal,
111500,Dog,Raksha,Large Mix Breed,10/02/2017,Reclaimed,ACO Impound,09/30/2017,,02/08/2017,2,,
84918,Dog,Rosie,Medium Mix Breed,10/02/2017,Seized Release,ACO Impound,10/02/2017,,11/25/2015,0,,
107873,Dog,Celina,Pit Bull,10/02/2017,Adopted,Returns,09/12/2017,Yes,08/07/2017,20,,
110137,Dog,Pajah,Cane Corso,10/02/2017,Seized Release,ACO Impound,10/02/2017,,,0,,
65337,Dog,Lady,Pit Bull,10/02/2017,Euthanized,Euthanasia Request,09/29/2017,,,3,Biter,Rabies Testing-8
110135,Dog,Muffin,Medium Mix Breed,10/02/2017,Euthanized,Euthanasia Request,10/02/2017,,,0,,Owner request -1
110151,Dog,Bubba,Small Mix Breed,10/02/2017,Euthanized,ACO Impound,10/02/2017,,,0,,Untreatable Terminal Injury-
109926,Dog,Ozzy,Large Mix Breed,10/03/2017,Adopted,ACO Impound,09/26/2017,Yes,10/02/2017,7,,
110027,Puppy,Lovey,Large Mix Breed,10/03/2017,Adopted,ACO Impound,09/28/2017,,10/02/2017,5,,
110129,Dog,Bear,Terrier,10/03/2017,Reclaimed,ACO Impound,10/02/2017,,,1,,
110146,Dog,Rudy,Medium Mix Breed,10/03/2017,Reclaimed,Stray,10/02/2017,,,1,,
111760,Dog,Rocky,Pit Bull,10/03/2017,Reclaimed,ACO Impound,09/29/2017,Yes,09/24/2014,4,,
109648,Dog,Vinnie,Jack Russell Terrier,10/03/2017,Adopted,Returns,10/02/2017,Yes,09/22/2017,1,Homeless,
110028,Puppy,Dovey,Large Mix Breed,10/03/2017,Adopted,ACO Impound,09/28/2017,,10/02/2017,5,,
109839,Dog,Nyla,Pit Bull,10/03/2017,Adopted,ACO Impound,09/23/2017,Yes,10/02/2017,10,,
109942,Dog,Ambrosia,Medium Mix Breed,10/03/2017,Adopted,ACO Impound,09/26/2017,Yes,10/02/2017,7,,
109860,Dog,Sienna -Rescue Committed,Medium Mix Breed,10/03/2017,Transfer Out,ACO Impound,09/24/2017,,,9,,
56001,Dog,Fix Sky,Siberian Husky,10/03/2017,Euthanized,Euthanasia Request,10/03/2017,,01/08/2014,0,Health of the animal -,Owner request -1
109994,Puppy,Fats,Rottweiler,10/03/2017,Adopted,ACO Impound,09/28/2017,Yes,10/02/2017,5,,
109952,Dog,Hans,Pit Bull,10/03/2017,Reclaimed,ACO Impound,09/27/2017,Yes,10/02/2017,6,,
109771,Dog,Rosie,Staffordshire Bull Terrier,10/03/2017,Adopted,Owner Surrender,09/20/2017,Yes,09/27/2017,13,Homeless,
109946,Puppy,Diamond,Pit Bull,10/03/2017,Adopted,ACO Impound,09/26/2017,Yes,10/02/2017,7,,
110011,Dog,Skyla,Labrador,10/03/2017,Euthanized,Stray,09/28/2017,Yes,,5,,Aggressive towards people-
110061,Dog,Behave Check,Pit Bull,10/03/2017,Euthanized,ACO Impound,09/30/2017,,,3,,Aggressive towards people-
,,,,,,,,,,,,
